"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"584","CNP",544.82,"M",536.54,"M",17.62,"M",4.88,3.28,544820000,536540000,17620000
"585","CNP.PRB",NA,NA,NA,NA,38781,NA,22.37,NA,NA,NA,38781
"586","CNQ",1.18,"B",1.15,"B",9.54,"M",64.46,0.83,1.18e+09,1.15e+09,9540000
"587","CNR",125.1,"M",47.23,"M",2.54,"M",-4.3,5.38,125100000,47230000,2540000
"588","CNS",47.79,"M",23.82,"M",320395,NA,-3.34,1.34,47790000,23820000,320395
"589","CNX",224.53,"M",214.73,"M",17.3,"M",-13.56,8.06,224530000,214730000,17300000
"590","CO",121.55,"M",34.73,"M",184143,NA,32.72,0.53,121550000,34730000,184143
"591","CODI",64.9,"M",54.53,"M",161913,NA,79.31,0.3,64900000,54530000,161913
"592","CODI.PRA",NA,NA,NA,NA,9695,NA,5.99,NA,NA,NA,9695
"593","CODI.PRB",NA,NA,NA,NA,2697,NA,6.56,NA,NA,NA,2697
"594","CODI.PRC",NA,NA,NA,NA,2312,NA,-12.72,NA,NA,NA,2312
"595","COE",12.26,"M",5.38,"M",29067,NA,7.66,0.54,12260000,5380000,29067
"596","COF",459,"M",454.15,"M",4.63,"M",17.66,1.02,4.59e+08,454150000,4630000
"597","COF.PRG",NA,NA,NA,NA,11520,NA,34.41,NA,NA,NA,11520
"598","COF.PRH",NA,NA,NA,NA,7914,NA,-20.71,NA,NA,NA,7914
"599","COF.PRI",NA,NA,NA,NA,86553,NA,24.18,NA,NA,NA,86553
"600","COF.PRJ",50,"M",NA,NA,202572,NA,-2.31,NA,5e+07,NA,202572
"601","COF.PRK",5,"M",NA,NA,39427,NA,268.72,NA,5e+06,NA,39427
"602","COG",398.58,"M",388.05,"M",19.08,"M",-11.04,4.92,398580000,388050000,19080000
"603","COLD",251.7,"M",250.87,"M",9.24,"M",7.58,3.68,251700000,250870000,9240000
"604","COO",49.14,"M",48.85,"M",775421,NA,13.18,1.59,49140000,48850000,775421
"605","COP",1.35,"B",1.35,"B",15.62,"M",-9.03,1.15,1.35e+09,1.35e+09,15620000
"606","COR",42.77,"M",36.43,"M",931708,NA,5.31,2.56,42770000,36430000,931708
"607","CORR",13.65,"M",13.59,"M",508496,NA,-28.18,3.74,13650000,13590000,508496
"608","CORR.PRA",5.01,"M",NA,NA,2935,NA,-53.38,NA,5010000,NA,2935
"609","COTY",766.8,"M",287.85,"M",21,"M",40.1,7.3,766800000,287850000,2.1e+07
"610","CP",133.3,"M",133.21,"M",890476,NA,55.5,0.67,133300000,133210000,890476
"611","CPA",31.42,"M",31.42,"M",3.98,"M",-3.48,12.67,31420000,31420000,3980000
"612","CPAC",NA,NA,NA,NA,2545,NA,80.11,NA,NA,NA,2545
"613","CPB",302.94,"M",202.28,"M",20.07,"M",3.97,9.92,302940000,202280000,20070000
"614","CPE",39.75,"M",38.59,"M",7.49,"M",0.73,19.42,39750000,38590000,7490000
"615","CPF",28.18,"M",27.18,"M",401401,NA,-6.61,1.48,28180000,27180000,401401
"616","CPG",530.04,"M",528.15,"M",12.35,"M",-4.86,2.34,530040000,528150000,12350000
"617","CPK",17.46,"M",16.95,"M",357132,NA,-8.48,2.11,17460000,16950000,357132
"618","CPLG",58.16,"M",38.95,"M",859834,NA,1.68,2.21,58160000,38950000,859834
"619","CPRI",151.04,"M",147.72,"M",5.76,"M",1.43,3.9,151040000,147720000,5760000
