"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"161","ANH.PRA",NA,NA,NA,NA,225,NA,-64.29,NA,NA,NA,225
"162","ANH.PRB",779743,NA,NA,NA,11970,NA,3.67,NA,779743,NA,11970
"163","ANH.PRC",NA,NA,NA,NA,1746,NA,-48.87,NA,NA,NA,1746
"164","ANTM",251.51,"M",247.35,"M",2.88,"M",-4.8,1.17,251510000,247350000,2880000
"165","AON",228.62,"M",226.32,"M",22.57,"M",5.1,9.97,228620000,226320000,22570000
"166","AONE",21.5,"M",NA,NA,41844,NA,-75.32,NA,21500000,NA,41844
"167","AOS",135.38,"M",132.41,"M",3.9,"M",17.13,2.95,135380000,132410000,3900000
"168","AP",18.31,"M",11.21,"M",529507,NA,35.33,4.72,18310000,11210000,529507
"169","APAM",61.4,"M",58.71,"M",2.01,"M",11.58,3.43,61400000,58710000,2010000
"170","APD",221.05,"M",220.07,"M",1.74,"M",49.29,0.79,221050000,220070000,1740000
"171","APG",180.5,"M",138.98,"M",7.75,"M",-9.38,5.57,180500000,138980000,7750000
"172","APH",299.15,"M",297.56,"M",1.99,"M",6.83,0.67,299150000,297560000,1990000
"173","APLE",223.27,"M",198.51,"M",6.53,"M",26.19,3.29,223270000,198510000,6530000
"174","APO",228.82,"M",203.93,"M",5.5,"M",12.77,2.7,228820000,203930000,5500000
"175","APO.PRA",NA,NA,NA,NA,10519,NA,68.22,NA,NA,NA,10519
"176","APO.PRB",NA,NA,NA,NA,3040,NA,-82.43,NA,NA,NA,3040
"177","APRN",14.03,"M",11.85,"M",2.52,"M",-10.22,21.25,14030000,11850000,2520000
"178","APSG",81.68,"M",NA,NA,182302,NA,-68.11,NA,81680000,NA,182302
"179","APTS",49.9,"M",48.73,"M",1.28,"M",1.14,2.63,49900000,48730000,1280000
"180","APTV",270.03,"M",268.25,"M",4.17,"M",9.15,1.55,270030000,268250000,4170000
"181","APTV.PRA",11.5,"M",NA,NA,11722,NA,132.76,NA,11500000,NA,11722
"182","AQN",527.39,"M",583.84,"M",7.39,"M",1.1,1.27,527390000,583840000,7390000
"183","AQNA",NA,NA,NA,NA,10855,NA,410.34,NA,NA,NA,10855
"184","AQNB",NA,NA,NA,NA,2894,NA,1.94,NA,NA,NA,2894
"185","AQUA",118.55,"M",104.81,"M",2.14,"M",-17.13,2.04,118550000,104810000,2140000
"186","AR",268.67,"M",224.51,"M",32.87,"M",-39.29,14.64,268670000,224510000,32870000
"187","ARC",43.84,"M",31.6,"M",366636,NA,-7.15,1.16,43840000,31600000,366636
"188","ARCH",15.15,"M",14.9,"M",2.96,"M",-2.32,19.87,15150000,14900000,2960000
"189","ARCO",127.27,"M",126.46,"M",1.06,"M",9.97,0.84,127270000,126460000,1060000
"190","ARD",18.66,"M",18.66,"M",108235,NA,12.99,0.58,18660000,18660000,108235
"191","ARE",144.52,"M",142.65,"M",6.21,"M",241.58,4.35,144520000,142650000,6210000
"192","ARES",143.83,"M",110.07,"M",1.01,"M",-6.11,0.92,143830000,110070000,1010000
