"","Ticker","Short_Interest_Jan","Short_Interest_Feb"
"167","BEAM",16.7779126213592,16.3803680981595
"168","CACC",17.3716012084592,16.3321167883212
"169","RCUS",15.1232352237377,16.3118606580039
"170","AAOI",18.0358829084042,16.2823529411765
"171","HOFV",10.78352180937,16.2798874824191
"172","RXT",26.7133275007291,16.2797619047619
"173","FUBO",71.9111437488526,16.2584736496829
"174","OPTN",17.9913535084802,16.2534435261708
"175","BKE",22.0593249232867,16.207845836201
"176","AXNX",19.3147590361446,16.1678706570347
"177","AMRS",17.5158775981524,16.1565256058697
"178","TELL",13.8201539877004,15.9765606082619
"179","MSGN",23.3734939759036,15.9759036144578
"180","SPCE",71.9478098788444,15.8759715025907
"181","ALLO",20.0849070414288,15.8421504146411
"182","BLMN",16.323731138546,15.712682379349
"183","SNES",0.580904977375566,15.6804733727811
"184","AERI",12.8193734725617,15.6382267765649
"185","EOLS",18.8584474885845,15.6279508970727
"186","NK",20.0694042799306,15.5944859276278
"187","RES",16.9220175589602,15.5678287884018
"188","BEEM",12.6029918699187,15.5595357142857
"189","NRIX",9.0233019335647,15.5217965653897
"190","YGMZ",5.75111111111111,15.5166666666667
"191","OMEX",13.3909287257019,15.470297029703
"192","MREO",12.3102866779089,15.4415748600325
"193","MIK",23.5364683301344,15.4256454021762
"194","STAR          ",13.1041285050021,15.3867831478089
"195","CWH",20.78162133615,15.1736745886654
"196","APPN",22.4027703782632,15.1499482936918
"197","VIR",30.4888327012221,15.1362984218077
"198","RKDA",1.74339542760373,15.1175213675214
"199","UA",13.633067440174,15.1066381602962
"200","VSAT",18.5800838900109,15.0981301189924
"201","EDIT",14.5616186388719,15.0712207076122
"202","BIG",24.3258117776555,15.0605726872247
"203","OSW",15.7126303592121,15
"204","OLB",2.30671428571429,14.9808571428571
"205","RUN",11.2199873932726,14.9644456149592
"206","ORIC",10.1459594161623,14.954088325317
"207","MDLA",22.9238754325259,14.9493813273341
"208","AYRO",17.0154686078253,14.9098474341193
"209","CFX",15.4103343465046,14.8978774529435
"210","PETQ",18.4843624699278,14.8757016840417
"211","GRUB",15.6114952463267,14.8676391139924
"212","TWOU",17.066169082819,14.8644793152639
"213","INFN",15.9493268313368,14.8132427843803
"214","POLA",15.6008389261745,14.7947859327217
"215","ATRA",14.1867204233338,14.7896195515243
"216","BCLI",18.9498618239242,14.7759103641457
"217","SFIX",33.1244707874682,14.7352393841989
"218","AGEN",15.7307619587824,14.7320876129192
"219","FSLY",16.0382312782271,14.724119810825
"220","MGPI",14.3982808022923,14.7183098591549
"221","AUVI",1.03571955719557,14.710405904059
"222","SAH",15.7994323557237,14.7016706443914
"223","Z",16.9852243459401,14.5748726874235
"224","RCKT",14.8254767902123,14.5367412140575
"225","NTEC",13.6263333333333,14.524297752809
"226","MTDR",15.7108831073653,14.4701895778002
"227","URGN",14.0201805629315,14.445034519384
"228","AEO",15.2040952001064,14.4329211541018
"229","NCLH",14.3310163682373,14.4043078303792
"230","APRN",21.2658227848101,14.3697478991597
"231","ANAB",13.4681419305609,14.3680368805225
"232","CRON",15.6494868116102,14.314093367178
"233","CALM",15.1694915254237,14.3016448285475
"234","IMGN",14.0204968610828,14.2795860367848
"235","CAKE",27.7328897338403,14.2653012622053
"236","KOSS",0.898239436619718,14.2378325123153
"237","GPI",13.1988472622478,14.2281105990783
"238","WVE",14.1933397995474,14.2207792207792
"239","SCWX",13.3248730964467,14.2131979695431
"240","NVTA",16.8385837747421,14.1489480129133
"241","M",28.8326026952427,14.1085170633503
"242","SUPN",12.804757185332,14.0803465931469
"243","CYTK",15.167764669833,14.0780413159908
"244","OSMT",14.878892733564,14.0484429065744
"245","DMRC",13.7342908438061,14.041404140414
"246","PBYI",14.4764164936221,14.0345649582837
"247","GLOG",13.0813287514318,14.020618556701
"248","QLYS",17.6755447941889,13.9891696750903
"249","HCSG",16.3118644067797,13.9796610169492
"250","PCRX",15.3325554259043,13.8389731621937
"251","SIG",21.0912698412698,13.8354806739346
"252","CIA",14.1465480728505,13.7741046831956
"253","PI",12.9593810444874,13.7404580152672
"254","MUX",16.6762264150943,13.7249557039662
"255","INZY",7.65087018544936,13.6671177266576
"256","INVA",14.3519860829226,13.6561322122354
"257","EPZM",13.1834265494807,13.6431611641551
"258","IVC",13.937175968283,13.6322049405306
"259","CLNY",13.1324917789329,13.6140871963509
"260","IGMS",17.3117522871217,13.5854341736695
"261","RAD",19.2530345471522,13.5684957073535
"262","CHWY",18.3629798047345,13.5591021149604
"263","GOSS",13.4341637010676,13.5087409500265
"264","BOOM",17.4757281553398,13.5063206919494
"265","TTMI",13.7187054752697,13.4906908129006
"266","FREQ",14.3840330350998,13.4727459718889
"267","PAR",13.5162094763092,13.4663341645885
"268","MRSN",13.5258358662614,13.4484397275463
"269","ZSAN",12.1359223300971,13.4415877311682
"270","REAL",13.9607549056368,13.4267294817754
"271","LGF.A",15.3472690492245,13.4249898908209
"272","CAR",16.2158210264659,13.4062727935813
"273","ACHV",13.6475541795666,13.40472303207
"274","RDVT",14.5901861252115,13.3933821138211
"275","QTS",12.7582968065122,13.3749025720966
"276","SOLO",13.7741046831956,13.3713561470215
